DGP Zone/Subzone,Total Population
Ang Mo Kio,180634
Bedok,284969
Bukit Batok,126643
Bukit Merah,148451
Bukit Panjang,96559
Bishan,89974
Bukit Timah,64318
Changi,1091
Choa Chu Kang,136808
Clementi,90978
Downtown Core,4618
Geylang,118908
Hougang,204073
Jurong East,89089
Jurong West,204750
Kallang,92222
Marine Parade,46260
Newton,6114
Novena,42839
Outram,22199
Pasir Ris,116682
Queenstown,97863
Rochor,17944
River Valley,9365
Sembawang,31662
Sengkang,61300
Serangoon,122419
Tampines,253113
Tanglin,13722
Toa Payoh,121243
Woodlands,188672
Yishun,177206
Others,5399
Not Stated,5276
